,EUR,GBP,INR,USD,base,date
0,0.70467,0.61102,49.658,0.74526,CAD,2017-03-07
1,0.70507,0.60847,49.775,0.74681,CAD,2017-03-06
2,0.70616,0.60981,49.85,0.74606,CAD,2017-03-03
