,CURR_TYPE,DATES,RATES
0,USD,2017-03-10,0.74054
1,INR,2017-03-10,49.345
2,GBP,2017-03-10,0.6092
3,EUR,2017-03-10,0.69823
4,USD,2017-03-09,0.73928
5,INR,2017-03-09,49.327
6,GBP,2017-03-09,0.60715
7,EUR,2017-03-09,0.70067
8,USD,2017-03-08,0.74375
9,INR,2017-03-08,49.67
10,GBP,2017-03-08,0.61124
11,EUR,2017-03-08,0.70457
12,USD,2017-03-07,0.74526
13,INR,2017-03-07,49.658
14,GBP,2017-03-07,0.61102
15,EUR,2017-03-07,0.70467
16,USD,2017-03-06,0.74681
17,INR,2017-03-06,49.775
18,GBP,2017-03-06,0.60847
19,EUR,2017-03-06,0.70507
20,USD,2017-03-03,0.74606
21,INR,2017-03-03,49.85
22,GBP,2017-03-03,0.60981
23,EUR,2017-03-03,0.70616
24,USD,2017-03-03,0.74606
25,INR,2017-03-03,49.85
26,GBP,2017-03-03,0.60981
27,EUR,2017-03-03,0.70616
28,USD,2017-03-03,0.74606
29,INR,2017-03-03,49.85
30,GBP,2017-03-03,0.60981
31,EUR,2017-03-03,0.70616
32,USD,2017-03-02,0.74732
33,INR,2017-03-02,49.897
34,GBP,2017-03-02,0.60815
35,EUR,2017-03-02,0.71078
36,USD,2017-03-01,0.75
37,INR,2017-03-01,50.125
38,GBP,2017-03-01,0.60916
39,EUR,2017-03-01,0.71205
40,USD,2017-02-28,0.75779
41,INR,2017-02-28,50.507
42,GBP,2017-02-28,0.61002
43,EUR,2017-02-28,0.7151
44,USD,2017-02-27,0.76226
45,INR,2017-02-27,50.84
46,GBP,2017-02-27,0.61401
47,EUR,2017-02-27,0.71999
48,USD,2017-02-24,0.76285
49,INR,2017-02-24,50.812
50,GBP,2017-02-24,0.60763
51,EUR,2017-02-24,0.71906
52,USD,2017-02-24,0.76285
53,INR,2017-02-24,50.812
54,GBP,2017-02-24,0.60763
55,EUR,2017-02-24,0.71906
56,USD,2017-02-24,0.76285
57,INR,2017-02-24,50.812
58,GBP,2017-02-24,0.60763
59,EUR,2017-02-24,0.71906
60,USD,2017-02-23,0.7624
61,INR,2017-02-23,50.87
62,GBP,2017-02-23,0.61024
63,EUR,2017-02-23,0.72108
64,USD,2017-02-22,0.75939
65,INR,2017-02-22,50.869
66,GBP,2017-02-22,0.61001
67,EUR,2017-02-22,0.72233
68,USD,2017-02-21,0.76134
69,INR,2017-02-21,50.961
70,GBP,2017-02-21,0.61315
71,EUR,2017-02-21,0.72254
72,USD,2017-02-20,0.76275
73,INR,2017-02-20,51.058
74,GBP,2017-02-20,0.61176
75,EUR,2017-02-20,0.71849
76,USD,2017-02-17,0.76459
77,INR,2017-02-17,51.304
78,GBP,2017-02-17,0.61541
79,EUR,2017-02-17,0.71793
80,USD,2017-02-17,0.76459
81,INR,2017-02-17,51.304
82,GBP,2017-02-17,0.61541
83,EUR,2017-02-17,0.71793
84,USD,2017-02-17,0.76459
85,INR,2017-02-17,51.304
86,GBP,2017-02-17,0.61541
87,EUR,2017-02-17,0.71793
88,USD,2017-02-16,0.76827
89,INR,2017-02-16,51.471
90,GBP,2017-02-16,0.61385
91,EUR,2017-02-16,0.72124
92,USD,2017-02-15,0.76436
93,INR,2017-02-15,51.126
94,GBP,2017-02-15,0.61553
95,EUR,2017-02-15,0.72417
96,USD,2017-02-14,0.76745
97,INR,2017-02-14,51.276
98,GBP,2017-02-14,0.61478
99,EUR,2017-02-14,0.72244
100,USD,2017-02-13,0.76374
101,INR,2017-02-13,51.152
102,GBP,2017-02-13,0.60997
103,EUR,2017-02-13,0.71855
104,USD,2017-02-10,0.76112
105,INR,2017-02-10,50.945
106,GBP,2017-02-10,0.61074
107,EUR,2017-02-10,0.71608
108,USD,2017-02-10,0.76112
109,INR,2017-02-10,50.945
110,GBP,2017-02-10,0.61074
111,EUR,2017-02-10,0.71608
112,USD,2017-02-10,0.76112
113,INR,2017-02-10,50.945
114,GBP,2017-02-10,0.61074
115,EUR,2017-02-10,0.71608
116,USD,2017-02-09,0.76284
117,INR,2017-02-09,50.913
118,GBP,2017-02-09,0.60709
119,EUR,2017-02-09,0.71347
120,USD,2017-02-08,0.7607
121,INR,2017-02-08,51.077
122,GBP,2017-02-08,0.60852
123,EUR,2017-02-08,0.71327
124,USD,2017-02-07,0.7586
125,INR,2017-02-07,51.146
126,GBP,2017-02-07,0.61349
127,EUR,2017-02-07,0.71063
128,USD,2017-02-06,0.76585
129,INR,2017-02-06,51.437
130,GBP,2017-02-06,0.6145
131,EUR,2017-02-06,0.71495
132,USD,2017-02-03,0.76596
133,INR,2017-02-03,51.565
134,GBP,2017-02-03,0.61337
135,EUR,2017-02-03,0.71311
136,USD,2017-02-03,0.76596
137,INR,2017-02-03,51.565
138,GBP,2017-02-03,0.61337
139,EUR,2017-02-03,0.71311
140,USD,2017-02-03,0.76596
141,INR,2017-02-03,51.565
142,GBP,2017-02-03,0.61337
143,EUR,2017-02-03,0.71311
144,USD,2017-02-02,0.76925
145,INR,2017-02-02,51.718
146,GBP,2017-02-02,0.61258
147,EUR,2017-02-02,0.71174
148,USD,2017-02-01,0.76541
149,INR,2017-02-01,51.61
150,GBP,2017-02-01,0.60593
151,EUR,2017-02-01,0.70937
152,USD,2017-01-31,0.76515
153,INR,2017-01-31,51.793
154,GBP,2017-01-31,0.61259
155,EUR,2017-01-31,0.71144
156,USD,2017-01-30,0.76021
157,INR,2017-01-30,51.657
158,GBP,2017-01-30,0.60742
159,EUR,2017-01-30,0.71515
160,USD,2017-01-27,0.76228
161,INR,2017-01-27,51.886
162,GBP,2017-01-27,0.60784
163,EUR,2017-01-27,0.71367
164,USD,2017-01-27,0.76228
165,INR,2017-01-27,51.886
166,GBP,2017-01-27,0.60784
167,EUR,2017-01-27,0.71367
168,USD,2017-01-27,0.76228
169,INR,2017-01-27,51.886
170,GBP,2017-01-27,0.60784
171,EUR,2017-01-27,0.71367
172,USD,2017-01-26,0.76167
173,INR,2017-01-26,51.934
174,GBP,2017-01-26,0.60609
175,EUR,2017-01-26,0.71185
176,USD,2017-01-25,0.76354
177,INR,2017-01-25,51.982
178,GBP,2017-01-25,0.60642
179,EUR,2017-01-25,0.71073
180,USD,2017-01-24,0.75335
181,INR,2017-01-24,51.3
182,GBP,2017-01-24,0.60524
183,EUR,2017-01-24,0.70092
184,USD,2017-01-23,0.75109
185,INR,2017-01-23,51.194
186,GBP,2017-01-23,0.60387
187,EUR,2017-01-23,0.70097
188,USD,2017-01-20,0.74784
189,INR,2017-01-20,50.983
190,GBP,2017-01-20,0.60909
191,EUR,2017-01-20,0.70338
192,USD,2017-01-20,0.74784
193,INR,2017-01-20,50.983
194,GBP,2017-01-20,0.60909
195,EUR,2017-01-20,0.70338
196,USD,2017-01-20,0.74784
197,INR,2017-01-20,50.983
198,GBP,2017-01-20,0.60909
199,EUR,2017-01-20,0.70338
200,USD,2017-01-19,0.75291
201,INR,2017-01-19,51.301
202,GBP,2017-01-19,0.61088
203,EUR,2017-01-19,0.70577
204,USD,2017-01-18,0.76248
205,INR,2017-01-18,51.935
206,GBP,2017-01-18,0.62086
207,EUR,2017-01-18,0.715
208,USD,2017-01-17,0.76571
209,INR,2017-01-17,52.056
210,GBP,2017-01-17,0.62202
211,EUR,2017-01-17,0.71669
212,USD,2017-01-16,0.76068
213,INR,2017-01-16,51.818
214,GBP,2017-01-16,0.63049
215,EUR,2017-01-16,0.71803
216,USD,2017-01-13,0.76096
217,INR,2017-01-13,51.869
218,GBP,2017-01-13,0.6249
219,EUR,2017-01-13,0.71378
220,USD,2017-01-13,0.76096
221,INR,2017-01-13,51.869
222,GBP,2017-01-13,0.6249
223,EUR,2017-01-13,0.71378
224,USD,2017-01-13,0.76096
225,INR,2017-01-13,51.869
226,GBP,2017-01-13,0.6249
227,EUR,2017-01-13,0.71378
228,USD,2017-01-12,0.76585
229,INR,2017-01-12,52.063
230,GBP,2017-01-12,0.6228
231,EUR,2017-01-12,0.71715
232,USD,2017-01-11,0.75458
233,INR,2017-01-11,51.607
234,GBP,2017-01-11,0.62307
235,EUR,2017-01-11,0.71844
236,USD,2017-01-10,0.75522
237,INR,2017-01-10,51.519
238,GBP,2017-01-10,0.62136
239,EUR,2017-01-10,0.71469
240,USD,2017-01-09,0.75362
241,INR,2017-01-09,51.375
242,GBP,2017-01-09,0.62104
243,EUR,2017-01-09,0.71664
244,USD,2017-01-06,0.75426
245,INR,2017-01-06,51.281
246,GBP,2017-01-06,0.61007
247,EUR,2017-01-06,0.7123
248,USD,2017-01-06,0.75426
249,INR,2017-01-06,51.281
250,GBP,2017-01-06,0.61007
251,EUR,2017-01-06,0.7123
252,USD,2017-01-06,0.75426
253,INR,2017-01-06,51.281
254,GBP,2017-01-06,0.61007
255,EUR,2017-01-06,0.7123
256,USD,2017-01-05,0.7519
257,INR,2017-01-05,51.08
258,GBP,2017-01-05,0.61177
259,EUR,2017-01-05,0.71602
260,USD,2017-01-04,0.75119
261,INR,2017-01-04,51.129
262,GBP,2017-01-04,0.61138
263,EUR,2017-01-04,0.71974
264,USD,2017-01-03,0.7438
265,INR,2017-01-03,50.853
266,GBP,2017-01-03,0.60568
267,EUR,2017-01-03,0.71623
268,USD,2017-01-02,0.74378
269,INR,2017-01-02,50.681
270,GBP,2017-01-02,0.60512
271,EUR,2017-01-02,0.71073
272,USD,2016-12-30,0.74295
273,INR,2016-12-30,50.461
274,GBP,2016-12-30,0.60345
275,EUR,2016-12-30,0.70482
276,USD,2016-12-30,0.74295
277,INR,2016-12-30,50.461
278,GBP,2016-12-30,0.60345
279,EUR,2016-12-30,0.70482
280,USD,2016-12-30,0.74295
281,INR,2016-12-30,50.461
282,GBP,2016-12-30,0.60345
283,EUR,2016-12-30,0.70482
284,USD,2016-12-29,0.73852
285,INR,2016-12-29,50.23
286,GBP,2016-12-29,0.60266
287,EUR,2016-12-29,0.70651
288,USD,2016-12-28,0.73667
289,INR,2016-12-28,50.264
290,GBP,2016-12-28,0.60293
291,EUR,2016-12-28,0.70827
292,USD,2016-12-27,0.73889
293,INR,2016-12-27,50.257
294,GBP,2016-12-27,0.60342
295,EUR,2016-12-27,0.70741
296,USD,2016-12-23,0.73996
297,INR,2016-12-23,50.172
298,GBP,2016-12-23,0.60408
299,EUR,2016-12-23,0.70837
300,USD,2016-12-23,0.73996
301,INR,2016-12-23,50.172
302,GBP,2016-12-23,0.60408
303,EUR,2016-12-23,0.70837
304,USD,2016-12-23,0.73996
305,INR,2016-12-23,50.172
306,GBP,2016-12-23,0.60408
307,EUR,2016-12-23,0.70837
308,USD,2016-12-23,0.73996
309,INR,2016-12-23,50.172
310,GBP,2016-12-23,0.60408
311,EUR,2016-12-23,0.70837
312,USD,2016-12-22,0.7425
313,INR,2016-12-22,50.476
314,GBP,2016-12-22,0.60177
315,EUR,2016-12-22,0.71093
316,USD,2016-12-21,0.74799
317,INR,2016-12-21,50.774
318,GBP,2016-12-21,0.60465
319,EUR,2016-12-21,0.71777
320,USD,2016-12-20,0.74583
321,INR,2016-12-20,50.769
322,GBP,2016-12-20,0.60433
323,EUR,2016-12-20,0.71963
324,USD,2016-12-19,0.74726
325,INR,2016-12-19,50.708
326,GBP,2016-12-19,0.60328
327,EUR,2016-12-19,0.717
328,USD,2016-12-16,0.74778
329,INR,2016-12-16,50.699
330,GBP,2016-12-16,0.60093
331,EUR,2016-12-16,0.71633
332,USD,2016-12-16,0.74778
333,INR,2016-12-16,50.699
334,GBP,2016-12-16,0.60093
335,EUR,2016-12-16,0.71633
336,USD,2016-12-16,0.74778
337,INR,2016-12-16,50.699
338,GBP,2016-12-16,0.60093
339,EUR,2016-12-16,0.71633
340,USD,2016-12-15,0.74946
341,INR,2016-12-15,50.814
342,GBP,2016-12-15,0.60134
343,EUR,2016-12-15,0.71932
344,USD,2016-12-14,0.76241
345,INR,2016-12-14,51.446
346,GBP,2016-12-14,0.60141
347,EUR,2016-12-14,0.71628
348,USD,2016-12-13,0.76216
349,INR,2016-12-13,51.475
350,GBP,2016-12-13,0.59973
351,EUR,2016-12-13,0.71834
352,USD,2016-12-12,0.76132
353,INR,2016-12-12,51.335
354,GBP,2016-12-12,0.60282
355,EUR,2016-12-12,0.71849
356,USD,2016-12-09,0.75888
357,INR,2016-12-09,51.273
358,GBP,2016-12-09,0.60324
359,EUR,2016-12-09,0.7187
360,USD,2016-12-09,0.75888
361,INR,2016-12-09,51.273
362,GBP,2016-12-09,0.60324
363,EUR,2016-12-09,0.7187
364,USD,2016-12-09,0.75888
365,INR,2016-12-09,51.273
366,GBP,2016-12-09,0.60324
367,EUR,2016-12-09,0.7187
368,USD,2016-12-08,0.75671
369,INR,2016-12-08,50.982
370,GBP,2016-12-08,0.59763
371,EUR,2016-12-08,0.70314
372,USD,2016-12-07,0.75341
373,INR,2016-12-07,50.964
374,GBP,2016-12-07,0.59749
375,EUR,2016-12-07,0.70215
376,USD,2016-12-06,0.75369
377,INR,2016-12-06,51.101
378,GBP,2016-12-06,0.59128
379,EUR,2016-12-06,0.70215
380,USD,2016-12-05,0.75154
381,INR,2016-12-05,51.229
382,GBP,2016-12-05,0.59107
383,EUR,2016-12-05,0.70225
384,USD,2016-12-02,0.75171
385,INR,2016-12-02,51.309
386,GBP,2016-12-02,0.59549
387,EUR,2016-12-02,0.70636
388,USD,2016-12-02,0.75171
389,INR,2016-12-02,51.309
390,GBP,2016-12-02,0.59549
391,EUR,2016-12-02,0.70636
392,USD,2016-12-02,0.75171
393,INR,2016-12-02,51.309
394,GBP,2016-12-02,0.59549
395,EUR,2016-12-02,0.70636
396,USD,2016-12-01,0.74628
397,INR,2016-12-01,51.009
398,GBP,2016-12-01,0.59058
399,EUR,2016-12-01,0.70225
400,USD,2016-11-30,0.74721
401,INR,2016-11-30,51.19
402,GBP,2016-11-30,0.59896
403,EUR,2016-11-30,0.70259
404,USD,2016-11-29,0.74311
405,INR,2016-11-29,51.051
406,GBP,2016-11-29,0.59595
407,EUR,2016-11-29,0.70264
408,USD,2016-11-28,0.74343
409,INR,2016-11-28,51.089
410,GBP,2016-11-28,0.59895
411,EUR,2016-11-28,0.70215
412,USD,2016-11-25,0.74122
413,INR,2016-11-25,50.799
414,GBP,2016-11-25,0.5961
415,EUR,2016-11-25,0.69979
416,USD,2016-11-25,0.74122
417,INR,2016-11-25,50.799
418,GBP,2016-11-25,0.5961
419,EUR,2016-11-25,0.69979
420,USD,2016-11-25,0.74122
421,INR,2016-11-25,50.799
422,GBP,2016-11-25,0.5961
423,EUR,2016-11-25,0.69979
424,USD,2016-11-24,0.74115
425,INR,2016-11-24,50.958
426,GBP,2016-11-24,0.59584
427,EUR,2016-11-24,0.70264
428,USD,2016-11-23,0.74348
429,INR,2016-11-23,51.104
430,GBP,2016-11-23,0.59883
431,EUR,2016-11-23,0.70126
432,USD,2016-11-22,0.7461
433,INR,2016-11-22,50.955
434,GBP,2016-11-22,0.6003
435,EUR,2016-11-22,0.70274
436,USD,2016-11-21,0.74301
437,INR,2016-11-21,50.635
438,GBP,2016-11-21,0.59914
439,EUR,2016-11-21,0.69891
440,USD,2016-11-18,0.73992
441,INR,2016-11-18,50.273
442,GBP,2016-11-18,0.60019
443,EUR,2016-11-18,0.69614
444,USD,2016-11-18,0.73992
445,INR,2016-11-18,50.273
446,GBP,2016-11-18,0.60019
447,EUR,2016-11-18,0.69614
448,USD,2016-11-18,0.73992
449,INR,2016-11-18,50.273
450,GBP,2016-11-18,0.60019
451,EUR,2016-11-18,0.69614
452,USD,2016-11-17,0.74481
453,INR,2016-11-17,50.549
454,GBP,2016-11-17,0.59806
455,EUR,2016-11-17,0.69498
456,USD,2016-11-16,0.74191
457,INR,2016-11-16,50.501
458,GBP,2016-11-16,0.59695
459,EUR,2016-11-16,0.69324
460,USD,2016-11-15,0.73935
461,INR,2016-11-15,50.095
462,GBP,2016-11-15,0.59504
463,EUR,2016-11-15,0.68681
464,USD,2016-11-14,0.73866
465,INR,2016-11-14,50.089
466,GBP,2016-11-14,0.58934
467,EUR,2016-11-14,0.6854
468,USD,2016-11-11,0.74121
469,INR,2016-11-11,49.847
470,GBP,2016-11-11,0.5855
471,EUR,2016-11-11,0.67976
472,USD,2016-11-11,0.74121
473,INR,2016-11-11,49.847
474,GBP,2016-11-11,0.5855
475,EUR,2016-11-11,0.67976
476,USD,2016-11-11,0.74121
477,INR,2016-11-11,49.847
478,GBP,2016-11-11,0.5855
479,EUR,2016-11-11,0.67976
480,USD,2016-11-10,0.74171
481,INR,2016-11-10,49.498
482,GBP,2016-11-10,0.59762
483,EUR,2016-11-10,0.68078
484,USD,2016-11-09,0.74483
485,INR,2016-11-09,49.585
486,GBP,2016-11-09,0.60164
487,EUR,2016-11-09,0.67577
488,USD,2016-11-08,0.74803
489,INR,2016-11-08,49.816
490,GBP,2016-11-08,0.60374
491,EUR,2016-11-08,0.67769
492,USD,2016-11-07,0.74678
493,INR,2016-11-07,49.851
494,GBP,2016-11-07,0.60109
495,EUR,2016-11-07,0.67508
496,USD,2016-11-04,0.74445
497,INR,2016-11-04,49.688
498,GBP,2016-11-04,0.59599
499,EUR,2016-11-04,0.6711
500,USD,2016-11-04,0.74445
501,INR,2016-11-04,49.688
502,GBP,2016-11-04,0.59599
503,EUR,2016-11-04,0.6711
504,USD,2016-11-04,0.74445
505,INR,2016-11-04,49.688
506,GBP,2016-11-04,0.59599
507,EUR,2016-11-04,0.6711
508,USD,2016-11-03,0.74686
509,INR,2016-11-03,49.849
510,GBP,2016-11-03,0.59847
511,EUR,2016-11-03,0.67504
512,USD,2016-11-02,0.74764
513,INR,2016-11-02,49.846
514,GBP,2016-11-02,0.60689
515,EUR,2016-11-02,0.67385
516,USD,2016-11-01,0.74847
517,INR,2016-11-01,49.927
518,GBP,2016-11-01,0.61217
519,EUR,2016-11-01,0.67889
520,USD,2016-10-31,0.7464
521,INR,2016-10-31,49.842
522,GBP,2016-10-31,0.61405
523,EUR,2016-10-31,0.6819
524,USD,2016-10-28,0.74691
525,INR,2016-10-28,49.893
526,GBP,2016-10-28,0.61482
527,EUR,2016-10-28,0.68385
528,USD,2016-10-28,0.74691
529,INR,2016-10-28,49.893
530,GBP,2016-10-28,0.61482
531,EUR,2016-10-28,0.68385
532,USD,2016-10-28,0.74691
533,INR,2016-10-28,49.893
534,GBP,2016-10-28,0.61482
535,EUR,2016-10-28,0.68385
536,USD,2016-10-27,0.74817
537,INR,2016-10-27,49.992
538,GBP,2016-10-27,0.61046
539,EUR,2016-10-27,0.6847
540,USD,2016-10-26,0.74819
541,INR,2016-10-26,50.011
542,GBP,2016-10-26,0.61269
543,EUR,2016-10-26,0.68484
544,USD,2016-10-25,0.75093
545,INR,2016-10-25,50.171
546,GBP,2016-10-25,0.61471
547,EUR,2016-10-25,0.6907
548,USD,2016-10-24,0.74868
549,INR,2016-10-24,50.043
550,GBP,2016-10-24,0.61191
551,EUR,2016-10-24,0.68743
552,USD,2016-10-21,0.75592
553,INR,2016-10-21,50.569
554,GBP,2016-10-21,0.62023
555,EUR,2016-10-21,0.6944
556,USD,2016-10-21,0.75592
557,INR,2016-10-21,50.569
558,GBP,2016-10-21,0.62023
559,EUR,2016-10-21,0.6944
560,USD,2016-10-21,0.75592
561,INR,2016-10-21,50.569
562,GBP,2016-10-21,0.62023
563,EUR,2016-10-21,0.6944
564,USD,2016-10-20,0.75934
565,INR,2016-10-20,50.722
566,GBP,2016-10-20,0.61942
567,EUR,2016-10-20,0.69156
568,USD,2016-10-19,0.7645
569,INR,2016-10-19,50.964
570,GBP,2016-10-19,0.62209
571,EUR,2016-10-19,0.69633
572,USD,2016-10-18,0.76436
573,INR,2016-10-18,50.99
574,GBP,2016-10-18,0.62276
575,EUR,2016-10-18,0.69531
576,USD,2016-10-17,0.76173
577,INR,2016-10-17,50.894
578,GBP,2016-10-17,0.62693
579,EUR,2016-10-17,0.69286
580,USD,2016-10-14,0.75954
581,INR,2016-10-14,50.699
582,GBP,2016-10-14,0.62071
583,EUR,2016-10-14,0.69037
584,USD,2016-10-14,0.75954
585,INR,2016-10-14,50.699
586,GBP,2016-10-14,0.62071
587,EUR,2016-10-14,0.69037
588,USD,2016-10-14,0.75954
589,INR,2016-10-14,50.699
590,GBP,2016-10-14,0.62071
591,EUR,2016-10-14,0.69037
592,USD,2016-10-13,0.75499
593,INR,2016-10-13,50.505
594,GBP,2016-10-13,0.61854
595,EUR,2016-10-13,0.68399
596,USD,2016-10-12,0.7549
597,INR,2016-10-12,50.425
598,GBP,2016-10-12,0.61645
599,EUR,2016-10-12,0.68503
600,USD,2016-10-11,0.75609
601,INR,2016-10-11,50.349
602,GBP,2016-10-11,0.6158
603,EUR,2016-10-11,0.68245
604,USD,2016-10-10,0.75456
605,INR,2016-10-10,50.191
606,GBP,2016-10-10,0.60899
607,EUR,2016-10-10,0.67613
608,USD,2016-10-07,0.75352
609,INR,2016-10-07,50.264
610,GBP,2016-10-07,0.61115
611,EUR,2016-10-07,0.67641
612,USD,2016-10-07,0.75352
613,INR,2016-10-07,50.264
614,GBP,2016-10-07,0.61115
615,EUR,2016-10-07,0.67641
616,USD,2016-10-07,0.75352
617,INR,2016-10-07,50.264
618,GBP,2016-10-07,0.61115
619,EUR,2016-10-07,0.67641
620,USD,2016-10-06,0.75733
621,INR,2016-10-06,50.541
622,GBP,2016-10-06,0.59803
623,EUR,2016-10-06,0.67709
624,USD,2016-10-05,0.75668
625,INR,2016-10-05,50.375
626,GBP,2016-10-05,0.595
627,EUR,2016-10-05,0.67495
628,USD,2016-10-04,0.75941
629,INR,2016-10-04,50.489
630,GBP,2016-10-04,0.59563
631,EUR,2016-10-04,0.68041
632,USD,2016-10-03,0.76425
633,INR,2016-10-03,50.854
634,GBP,2016-10-03,0.59392
635,EUR,2016-10-03,0.68018
636,USD,2016-09-30,0.75977
637,INR,2016-09-30,50.624
638,GBP,2016-09-30,0.58613
639,EUR,2016-09-30,0.68074
640,USD,2016-09-30,0.75977
641,INR,2016-09-30,50.624
642,GBP,2016-09-30,0.58613
643,EUR,2016-09-30,0.68074
644,USD,2016-09-30,0.75977
645,INR,2016-09-30,50.624
646,GBP,2016-09-30,0.58613
647,EUR,2016-09-30,0.68074
648,USD,2016-09-29,0.76422
649,INR,2016-09-29,51.1
650,GBP,2016-09-29,0.58665
651,EUR,2016-09-29,0.68106
652,USD,2016-09-28,0.75696
653,INR,2016-09-28,50.301
654,GBP,2016-09-28,0.58135
655,EUR,2016-09-28,0.67435
656,USD,2016-09-27,0.75439
657,INR,2016-09-27,50.145
658,GBP,2016-09-27,0.58101
659,EUR,2016-09-27,0.67236
660,USD,2016-09-26,0.75966
661,INR,2016-09-26,50.631
662,GBP,2016-09-26,0.58745
663,EUR,2016-09-26,0.67454
664,USD,2016-09-23,0.76677
665,INR,2016-09-23,51.084
666,GBP,2016-09-23,0.59101
667,EUR,2016-09-23,0.68376
668,USD,2016-09-23,0.76677
669,INR,2016-09-23,51.084
670,GBP,2016-09-23,0.59101
671,EUR,2016-09-23,0.68376
672,USD,2016-09-23,0.76677
673,INR,2016-09-23,51.084
674,GBP,2016-09-23,0.59101
675,EUR,2016-09-23,0.68376
676,USD,2016-09-22,0.76852
677,INR,2016-09-22,51.202
678,GBP,2016-09-22,0.5876
679,EUR,2016-09-22,0.68385
680,USD,2016-09-21,0.76094
681,INR,2016-09-21,50.966
682,GBP,2016-09-21,0.58482
683,EUR,2016-09-21,0.68245
684,USD,2016-09-20,0.75608
685,INR,2016-09-20,50.677
686,GBP,2016-09-20,0.58284
687,EUR,2016-09-20,0.67604
688,USD,2016-09-19,0.76035
689,INR,2016-09-19,50.929
690,GBP,2016-09-19,0.58227
691,EUR,2016-09-19,0.68101
692,USD,2016-09-16,0.75764
693,INR,2016-09-16,50.777
694,GBP,2016-09-16,0.57504
695,EUR,2016-09-16,0.6749
696,USD,2016-09-16,0.75764
697,INR,2016-09-16,50.777
698,GBP,2016-09-16,0.57504
699,EUR,2016-09-16,0.6749
700,USD,2016-09-16,0.75764
701,INR,2016-09-16,50.777
702,GBP,2016-09-16,0.57504
703,EUR,2016-09-16,0.6749
704,USD,2016-09-15,0.75882
705,INR,2016-09-15,50.778
706,GBP,2016-09-15,0.57446
707,EUR,2016-09-15,0.67426
708,USD,2016-09-14,0.75802
709,INR,2016-09-14,50.727
710,GBP,2016-09-14,0.57489
711,EUR,2016-09-14,0.67572
712,USD,2016-09-13,0.76282
713,INR,2016-09-13,51.029
714,GBP,2016-09-13,0.5749
715,EUR,2016-09-13,0.67824
716,USD,2016-09-12,0.76253
717,INR,2016-09-12,51.019
718,GBP,2016-09-12,0.5738
719,EUR,2016-09-12,0.67926
720,USD,2016-09-09,0.77178
721,INR,2016-09-09,51.509
722,GBP,2016-09-09,0.57916
723,EUR,2016-09-09,0.68493
724,USD,2016-09-09,0.77178
725,INR,2016-09-09,51.509
726,GBP,2016-09-09,0.57916
727,EUR,2016-09-09,0.68493
728,USD,2016-09-09,0.77178
729,INR,2016-09-09,51.509
730,GBP,2016-09-09,0.57916
731,EUR,2016-09-09,0.68493
732,USD,2016-09-08,0.77657
733,INR,2016-09-08,51.549
734,GBP,2016-09-08,0.58133
735,EUR,2016-09-08,0.68747
736,USD,2016-09-07,0.77797
737,INR,2016-09-07,51.624
738,GBP,2016-09-07,0.58133
739,EUR,2016-09-07,0.69233
740,USD,2016-09-06,0.77466
741,INR,2016-09-06,51.509
742,GBP,2016-09-06,0.5799
743,EUR,2016-09-06,0.6942
744,USD,2016-09-05,0.77279
745,INR,2016-09-05,51.358
746,GBP,2016-09-05,0.57941
747,EUR,2016-09-05,0.69271
748,USD,2016-09-02,0.76439
749,INR,2016-09-02,51.056
750,GBP,2016-09-02,0.57543
751,EUR,2016-09-02,0.68292
752,USD,2016-09-02,0.76439
753,INR,2016-09-02,51.056
754,GBP,2016-09-02,0.57543
755,EUR,2016-09-02,0.68292
756,USD,2016-09-02,0.76439
757,INR,2016-09-02,51.056
758,GBP,2016-09-02,0.57543
759,EUR,2016-09-02,0.68292
760,USD,2016-09-01,0.76165
761,INR,2016-09-01,51.0
762,GBP,2016-09-01,0.57435
763,EUR,2016-09-01,0.68334
764,USD,2016-08-31,0.76335
765,INR,2016-08-31,51.125
766,GBP,2016-08-31,0.58154
767,EUR,2016-08-31,0.68573
768,USD,2016-08-30,0.76693
769,INR,2016-08-30,51.415
770,GBP,2016-08-30,0.58488
771,EUR,2016-08-30,0.68672
772,USD,2016-08-29,0.76844
773,INR,2016-08-29,51.619
774,GBP,2016-08-29,0.58803
775,EUR,2016-08-29,0.68795
776,USD,2016-08-26,0.77616
777,INR,2016-08-26,52.005
778,GBP,2016-08-26,0.58745
779,EUR,2016-08-26,0.68747
780,USD,2016-08-26,0.77616
781,INR,2016-08-26,52.005
782,GBP,2016-08-26,0.58745
783,EUR,2016-08-26,0.68747
784,USD,2016-08-26,0.77616
785,INR,2016-08-26,52.005
786,GBP,2016-08-26,0.58745
787,EUR,2016-08-26,0.68747
788,USD,2016-08-25,0.77345
789,INR,2016-08-25,51.858
790,GBP,2016-08-25,0.58622
791,EUR,2016-08-25,0.68507
792,USD,2016-08-24,0.77279
793,INR,2016-08-24,51.867
794,GBP,2016-08-24,0.58384
795,EUR,2016-08-24,0.68582
796,USD,2016-08-23,0.77532
797,INR,2016-08-23,52.0
798,GBP,2016-08-23,0.588
799,EUR,2016-08-23,0.68376
800,USD,2016-08-22,0.77428
801,INR,2016-08-22,52.042
802,GBP,2016-08-22,0.5906
803,EUR,2016-08-22,0.68484
804,USD,2016-08-19,0.77858
805,INR,2016-08-19,52.303
806,GBP,2016-08-19,0.59488
807,EUR,2016-08-19,0.68743
808,USD,2016-08-19,0.77858
809,INR,2016-08-19,52.303
